4300000 4000000 1995 188424531.86
775398007 11000000 1977 674447716.954
940335536 94000000 2003 768788078.691
677945399 55000000 1994 677945399.0
356296601 15000000 1999 334477122.002
40031879 12800000 2000 228635897.366
263920180 90000000 1997 533637472.719
650422 92620000 1927 0
655011224 140000000 2003 894372505.831
180949000 30000000 2003 219431910.2
96889998 72000000 2005 415198421.153
89460381 31500000 1979 198786399.912
159157447 14000000 1992 266348092.1
527068851 75000000 2007 334121277.602
72258126 20000000 2004 230557711.457
20908467 2000000 2000 101555780.401
1065659812 200000000 2006 849631331.078
60740827 32000000 2005 216460978.886
68700000 10500000 1968 204659573.877
215000000 41000000 2002 159064214.015
50068310 50000000 1997 130410120.695
186438883 28000000 2005 239196295.976
216763646 30000000 2004 347397370.992
110000000 5000000 2000 282342165.661
23875127 20000000 1998 343059608.359
591739379 132000000 2005 524946275.351
101371017 70000000 1996 215534666.586
5535405 2500000 1995 142913968.14
39723096 9000000 2000 307348768.45
33139618 28000000 1982 222787553.785
177394432 31000000 2002 220513770.49
15992615 2700000 2004 139474352.384
54667954 130000 2004 64164908.912
389925971 18000000 1981 703110612.946
333000000 28000000 1984 328149737.377
474171806 48000000 1989 465216473.764
316360478 15000000 1984 244978809.822
553799566 140000000 1998 485925651.763
299965036 20000000 1987 273100793.774
457640427 103000000 2000 427415824.564
3897569 1350000 1998 163474407.388
28262574 1300000 1976 184208890.745
7267585 1530000 1998 164837869.199
381109762 19000000 1985 603269184.815
98235548 18000000 1987 152372051.967
83557872 10000000 2000 294171625.216
65884703 25000000 1983 193479156.858
463000000 14000000 1990 359762904.042
46189568 15000000 1998 347035625.483
85306374 15000000 2005 382578596.831
76270454 25000000 1987 285467524.067
474968763 150000000 2005 452340946.492
871368364 93000000 2001 793950483.132
926287400 79000000 2002 809579291.656
1118888979 94000000 2003 799911378.151
159375308 26500000 1997 157058486.455
274925095 15000000 2001 243065839.419
71868327 26000000 2000 188298694.565
70906973 14600000 1993 180745394.488
1270522 6000000 2001 254005617.888
178043761 14000000 2005 254814533.231
213525736 17000000 2000 190941248.362
553171 8000000 1988 0
139000000 35000000 1979 199592474.19
119723856 4000000 2003 252072611.284
96800000 12000000 1982 159343952.286
1004558444 185000000 2008 998823364.855
87000000 18000000 1984 270791314.083
450717150 85000000 2001 359222815.036
53000000 20000000 1990 225311824.924
362744280 110000000 2004 359704533.734
332000000 40000000 1989 364387830.891
50315140 48000000 2001 177151740.122
133000000 24000000 1986 160601120.991
57120318 35000000 1990 290795641.956
82719885 5000000 2002 314348230.032
70200000 30000000 1989 196142635.619
28200000 5000000 1954 98892220.2082
96900000 27000000 1991 202916006.318
103911669 1200000 2004 462479596.026
41895491 24000000 1991 196952562.22
162944923 80000000 2005 344112003.224
358372926 102000000 2002 287270179.543
5914908 32000000 2006 247396857.315
39673162 12000000 1997 235364075.236
56308881 27000000 2006 198075368.853
158733820 40000000 2005 301605282.557
39407616 65000000 2014 272698412.972
120000000 38000000 1994 298559164.503
173921954 10000000 2001 214595747.527
